Average qual score & Frequency
39.0693069307	9466
35.3168316832	2476
39.6633663366	16568
39.8217821782	20671
38.9801980198	8831
40.0198019802	29725
39.8415841584	21241
40.0297029703	29932
40.1485148515	36807
35.1584158416	2498
40.3069306931	42444
39.6930693069	17913
39.2574257426	10907
38.3465346535	6313
37.8910891089	5203
39.7821782178	19457
39.5445544554	14541
37.8118811881	4902
39.9603960396	25446
39.8514851485	21533
39.7623762376	19107
40.1089108911	35729
40.2772277228	43872
39.801980198	20264
39.9405940594	25335
40.3168316832	42663
38.7425742574	7825
40.1188118812	36353
39.5544554455	15321
39.0396039604	9325
40.1683168317	38998
40.0594059406	31555
39.7722772277	19503
40.198019802	42976
39.8118811881	20656
39.5940594059	15749
36.3366336634	3110
38.5445544554	6966
29.2772277228	776
39.4257425743	13016
30.0495049505	915
32.9702970297	1593
39.9702970297	26507
37.5841584158	4554
39.4851485149	13885
39.7128712871	18024
40.297029703	58448
38.9207920792	8658
37.7425742574	4765
39.8316831683	21049
40.5445544554	305961
37.4356435644	4342
39.4554455446	13184
38.495049505	6677
32.4851485149	1499
40.6237623762	634684
27.8613861386	484
37.9108910891	5137
39.2277227723	10787
40.2079207921	44946
35.0792079208	2373
38.0396039604	5443
39.504950495	14175
39.4356435644	13012
39.1089108911	9759
35.198019802	2486
38.2178217822	5656
33.5445544554	1873
40.504950495	204796
39.6336633663	16464
39.1386138614	10112
39.7425742574	18482
34.6831683168	2253
36.4455445545	3208
38.7920792079	7904
36.7326732673	3457
40.4257425743	92789
38.9702970297	8827
38.702970297	7693
35.5445544554	2649
40.3861386139	66715
40.0396039604	28524
39.6831683168	17529
37.9504950495	5215
35.4455445545	2583
37.3861386139	4139
40.4356435644	25447
40.4059405941	73047
33.2079207921	1712
37.495049505	4338
36.7722772277	3505
35.6336633663	2751
40.1386138614	32339
39.5148514851	14417
40.3762376238	87396
36.702970297	3588
40.3267326733	64469
39.3564356436	12015
38.4752475248	6562
39.7524752475	18917
